subject,ai_correct
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,False
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,False
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,False
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,False
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,False
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
2.NBT.B.5,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,False
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,False
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
6.EE.A.1,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,False
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,True
4.NF.A.2,False
4.NF.A.2,True
4.NF.A.2,True
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
8.EE.C.8,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,False
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
K.OA.A.5,True
