row_id,pattern_id,latent_id,is_member
0,0,1679,0
0,1,3674,1
0,2,6744,1
0,3,2910,0
0,4,8733,1
0,5,4516,1
0,6,14881,1
0,7,7296,1
0,8,2176,1
0,9,19367,1
0,10,2243,1
0,11,4892,1
0,12,5673,1
0,13,7339,1
0,14,21927,0
0,15,9680,1
0,16,3224,0
0,17,9099,0
0,18,17235,1
0,19,22562,1
0,20,22771,1
0,21,17040,1
0,22,4514,1
0,23,23028,0
0,24,3691,1
0,25,15107,1
0,26,10348,0
0,27,18372,1
0,28,23939,0
0,29,21395,1
0,30,445,1
0,31,6071,0
0,32,18706,1
0,33,265,1
0,34,23460,0
0,35,16033,1
0,36,18125,1
0,37,21840,1
0,38,21308,0
0,39,11576,1
0,40,2684,1
0,41,24295,1
0,42,13700,1
0,43,19296,0
0,44,7013,0
0,45,14908,0
0,46,2535,0
0,47,15425,1
0,48,23190,1
0,49,13488,1
0,50,12886,1
0,51,630,1
0,52,6840,1
0,53,19532,1
0,54,24535,1
0,55,4538,1
0,56,3093,1
0,57,3740,0
0,58,22085,1
0,59,18454,1
0,60,7295,1
0,61,15004,0
0,62,2844,1
0,63,17215,1
0,64,1558,1
0,65,1362,1
0,66,11736,1
0,67,14892,0
0,68,11015,0
0,69,13529,1
0,70,1152,1
0,71,9495,1
0,72,22360,1
0,73,644,1
0,74,515,1
0,75,8483,0
0,76,22156,1
0,77,20662,0
0,78,14978,1
0,79,22305,1
0,80,7158,1
0,81,20419,0
0,82,20130,1
0,83,3038,1
0,84,18890,1
0,85,24225,1
0,86,12457,0
0,87,5449,1
0,88,19849,1
0,89,24527,1
0,90,13860,1
0,91,15393,0
0,92,8857,1
0,93,10389,1
0,94,18709,1
0,95,14132,0
0,96,7524,1
0,97,10303,0
0,98,17614,1
0,99,6287,1
0,100,18761,0
0,101,11976,1
0,102,5182,0
0,103,15524,0
0,104,14932,0
0,105,5170,1
0,106,20126,1
0,107,18375,0
0,108,23156,1
0,109,23765,0
0,110,7655,1
0,111,7055,0
0,112,9420,1
0,113,11872,1
0,114,10316,1
0,115,6193,1
0,116,18228,1
0,117,8388,1
0,118,15802,0
0,119,12058,1
0,120,8980,1
0,121,7570,0
0,122,15012,1
0,123,1207,1
0,124,6644,1
0,125,13931,0
0,126,15222,1
0,127,22645,1
0,128,758,0
0,129,5342,0
0,130,23654,1
0,131,24514,0
0,132,9387,1
0,133,7071,0
0,134,2528,1
0,135,20363,1
0,136,15013,0
0,137,6676,1
0,138,19463,0
0,139,17807,0
0,140,20625,0
0,141,23672,0
0,142,13211,1
0,143,3197,0
0,144,10506,0
0,145,19818,0
0,146,6906,1
0,147,5861,0
0,148,24282,1
0,149,23941,0
0,150,8278,1
0,151,19555,1
0,152,11615,0
0,153,15071,1
0,154,20206,0
0,155,6936,0
0,156,14637,1
0,157,331,0
0,158,23822,1
0,159,19601,1
0,160,270,1
0,161,11046,1
0,162,1450,0
0,163,14652,0
0,164,19111,0
0,165,2642,0
0,166,20680,0
0,167,7986,0
0,168,10049,0
0,169,6192,1
0,170,18560,1
0,171,269,0
0,172,20213,1
0,173,10470,0
0,174,1627,1
0,175,21143,0
0,176,22124,1
0,177,12102,0
0,178,21800,0
0,179,18583,0
0,180,19154,0
0,181,17154,1
0,182,15197,1
0,183,1946,0
0,184,6950,0
0,185,15684,1
0,186,15065,0
0,187,10296,1
0,188,5942,0
0,189,21270,1
0,190,24058,0
0,191,21404,0
0,192,21379,0
0,193,19505,0
0,194,17956,0
0,195,24151,0
0,196,23848,1
0,197,8971,1
0,198,14400,1
0,199,21508,0
0,200,9402,0
0,201,20374,0
0,202,3589,1
0,203,3537,1
0,204,5156,0
0,205,7026,0
0,206,12433,1
0,207,16895,0
0,208,5453,0
0,209,5548,0
0,210,5976,0
0,211,1469,1
0,212,10641,1
0,213,10447,1
0,214,1915,0
0,215,21579,1
0,216,12015,0
0,217,7288,0
0,218,5921,0
0,219,5101,0
0,220,15719,0
0,221,2612,0
0,222,23301,1
0,223,21273,0
0,224,23659,1
0,225,8734,1
0,226,6150,1
0,227,8877,0
0,228,20227,1
0,229,4624,0
0,230,10048,0
0,231,21296,1
0,232,9843,1
0,233,2463,0
0,234,23304,0
0,235,17884,0
0,236,22204,0
0,237,16356,0
0,238,6662,0
0,239,12867,0
0,240,6645,0
0,241,3884,0
0,242,1146,0
0,243,18637,0
0,244,15275,0
0,245,20272,0
0,246,19631,0
0,247,16531,0
0,248,480,1
0,249,23031,0
0,250,5513,1
0,251,12167,0
0,252,21331,0
0,253,5305,1
0,254,5960,0
0,255,6297,1
0,256,3212,0
0,257,3160,0
0,258,21752,0
0,259,12555,0
0,260,22561,1
0,261,10651,0
0,262,24442,1
0,263,2440,0
0,264,161,0
0,265,18377,1
0,266,20487,0
0,267,19627,0
0,268,11555,0
0,269,6446,0
0,270,14943,0
0,271,2426,0
0,272,21282,0
0,273,17328,0
0,274,13411,0
0,275,18730,0
0,276,12163,1
0,277,20963,0
