latent_id,V_prime,p_value,p_adjusted
1679,64.4022,0.002239994417041075,
3674,19.2952,0.005629328436372716,
6744,16.2801,0.038414052259823216,
2910,15.9796,0.01369260981580032,
8733,14.3617,0.04514686175020253,
4516,12.9718,0.030620215491244406,
14881,12.8769,0.020410425863281012,
7296,11.3983,0.02420811173435685,
2176,10.757,0.028407520030809062,
19367,10.6646,0.0242925253947056,
2243,8.7841,0.00586318097329118,
4892,8.051,0.030131970031506573,
5673,7.9832,0.03947505155498325,
7339,7.4863,0.04502984673454375,
21927,7.1815,0.044580241095326635,
9680,6.9184,0.030318151659111905,
3224,6.8292,0.0028825147308522707,
9099,6.752,0.002630444998974537,
17235,6.2533,0.031080246988572837,
22562,6.1847,0.04186742929092859,
22771,5.7859,0.022535571184177625,
17040,5.6877,0.036884243078752724,
4514,5.5311,0.011279778287584632,
23028,5.4832,0.012908820525189232,
3691,5.479,0.02120832718429715,
15107,5.1318,0.03048465124327317,
10348,4.7831,0.003897193746103314,
18372,4.7668,0.02612116432180165,
23939,4.735,0.024339376626892475,
21395,4.6656,0.034639338341202655,
445,4.4619,0.027511998233864337,
6071,4.4273,0.03429241973810854,
18706,4.4083,0.04744814979994278,
265,4.1766,0.04319826137973992,
23460,4.0545,0.0015056556118765011,
16033,4.0342,0.028870351056354097,
18125,3.9824,0.012100201046436542,
21840,3.9714,0.028271868840158528,
21308,3.7325,0.010882158196258948,
11576,3.5797,0.0189748030860298,
2684,3.3732,0.0483951393103168,
24295,3.2881,0.03660472240516781,
13700,3.1439,0.044196767379744324,
19296,3.0995,0.024790176792220033,
7013,3.047,0.004397132682518628,
14908,3.0295,0.0090175464797248,
2535,2.9505,0.0074839488304698125,
15425,2.9382,0.04058387209591273,
23190,2.8766,0.03287542916044435,
13488,2.8011,0.011317803766471093,
12886,2.7292,0.024790329354413998,
630,2.6842,0.023870459481774124,
6840,2.6646,0.015100297047367324,
19532,2.5952,0.042426338335210693,
24535,2.5883,0.009221564768179858,
4538,2.4274,0.04482470019914384,
3093,2.3543,0.049532698478598196,
3740,2.3342,0.03215018032731434,
22085,2.2762,0.007846313171865049,
18454,2.2757,0.017889469840164915,
7295,2.2409,0.01183220993888414,
15004,2.2399,0.004104035671673515,
2844,2.2301,0.03727185384187665,
17215,2.229,0.047909631841911514,
1558,2.2237,0.027280984411009165,
1362,2.187,0.039654601469926505,
11736,2.182,0.019059177002921264,
14892,2.1151,0.024261062237495846,
11015,2.1073,0.03614779911172494,
13529,2.1069,0.042831674831950925,
1152,2.0984,0.0446061074347808,
9495,2.0221,0.03907840063663659,
22360,2.0153,0.018398726761487096,
644,1.9704,0.021146420898551684,
515,1.9554,0.04261336018802269,
8483,1.9364,0.0030318158998380936,
22156,1.8903,0.046953226306493685,
20662,1.882,0.005854179103528936,
14978,1.8811,0.0018080821918631468,
22305,1.8449,0.026466867419742572,
7158,1.8435,0.03755597457550775,
20419,1.8407,0.0020245961987629345,
20130,1.8237,0.035118511582336684,
3038,1.7545,0.0019404182166529297,
18890,1.7359,0.007846947623187583,
24225,1.7112,0.008170336931249625,
12457,1.6463,0.008641001178882295,
5449,1.6379,0.04592086650085078,
19849,1.5712,0.0273040274217963,
24527,1.5586,0.01832593631538799,
13860,1.5583,0.03549264628516598,
15393,1.5385,0.0033261689307085714,
8857,1.533,0.011480625836012223,
10389,1.5322,0.03480667683587798,
18709,1.5157,0.046503200380074564,
14132,1.4767,0.0011129242134831838,
7524,1.4524,0.032094658475408024,
10303,1.4435,0.022073129618091544,
17614,1.4435,0.017733183680776105,
6287,1.4391,0.033512906789992795,
18761,1.4324,0.03814757079809385,
11976,1.4304,0.04947623689919532,
5182,1.3964,0.017536251735525626,
15524,1.3904,0.0017305289864681735,
14932,1.3849,0.02331275496278657,
5170,1.3658,0.04015308540100896,
20126,1.3647,0.04876669804866432,
18375,1.3565,0.018594539531640537,
23156,1.3558,0.009735194245572617,
23765,1.3553,0.0085859102134484,
7655,1.3517,0.02167110951058544,
7055,1.3028,0.006300387485387171,
9420,1.2915,0.04862953674142593,
11872,1.2887,0.04262197819949757,
10316,1.2819,0.02481324773569252,
6193,1.2543,0.04078830319306437,
18228,1.2511,0.01884726454223403,
8388,1.246,0.028572350008222162,
15802,1.223,0.03237302725059844,
12058,1.2193,0.038573617874166015,
8980,1.2146,0.02784823541789102,
7570,1.2111,0.0204602203276925,
15012,1.2104,0.018781245810359715,
1207,1.2005,0.0436361588014035,
6644,1.2005,0.027403061909384213,
13931,1.1861,0.04760166168103031,
15222,1.1826,0.048177729194596064,
22645,1.1779,0.024511622275136268,
758,1.1749,0.035284907929622224,
5342,1.1733,0.042071214426242974,
23654,1.16,0.03537730701290028,
24514,1.1571,0.03903998289193867,
9387,1.1545,0.015249077918358896,
7071,1.1405,0.013373358270837708,
2528,1.1367,0.029876895629779153,
20363,1.1325,0.04091412362549076,
15013,1.1299,0.00873204665845357,
6676,1.1284,0.046500461676564124,
19463,1.1144,0.0001429289382009112,
17807,1.113,0.002197459768304731,
20625,1.1106,0.003333280327668895,
23672,1.1082,0.013158554662320436,
13211,1.1076,0.02821627282266223,
3197,1.1062,0.01256358029136452,
10506,1.1054,0.03812783612486412,
19818,1.1043,0.006097932046847365,
6906,1.1041,0.03695423868631211,
5861,1.098,0.005366626413158789,
24282,1.0961,0.044568290406772786,
23941,1.0884,0.002042739166043152,
8278,1.0785,0.04513688094383192,
19555,1.0742,0.04221692486116933,
11615,1.0493,0.030455856414856156,
15071,1.0475,0.029751009000457785,
20206,1.0452,0.018043745441032162,
6936,1.0443,0.03865541794690851,
14637,1.0374,0.012076903518655946,
331,1.0342,0.00875770927954813,
23822,1.0304,0.012884461139795213,
19601,1.0302,0.019196958253984476,
270,1.0216,0.04990187350699328,
11046,1.0068,0.048300287857009384,
1450,1.0054,0.007713980840414139,
14652,1.0009,0.01611431857986547,
19111,0.9945,0.009193822169824336,
2642,0.9932,0.01904529321600522,
20680,0.9907,0.041407262007625414,
7986,0.9822,0.026650359541036745,
10049,0.9702,0.033556500808852883,
6192,0.9697,0.017787612480444092,
18560,0.9664,0.04889730326294353,
269,0.9639,0.02477357774249098,
20213,0.963,0.024039613227305308,
10470,0.9629,0.024908500983847233,
1627,0.9515,0.019508232272636383,
21143,0.9443,0.0009671412808396862,
22124,0.9406,0.0022745093082014345,
12102,0.9392,0.0036827416773090363,
21800,0.9224,0.0014739088507147186,
18583,0.918,0.008945565437462617,
19154,0.9172,0.025125192876779705,
17154,0.9097,0.025584296413931496,
15197,0.9002,0.044197352640850916,
1946,0.8952,0.031611387616794454,
6950,0.8942,0.03245906036170143,
15684,0.8906,0.005284626476137876,
15065,0.8871,0.01936787673889651,
10296,0.8802,0.047117603542203866,
5942,0.8792,0.00856793643673293,
21270,0.8774,0.04096512023330235,
24058,0.8655,0.013907728900857234,
21404,0.8653,0.042437112759447795,
21379,0.8604,0.003678385623905457,
19505,0.8572,0.026737128507244433,
17956,0.8552,0.002172318688669298,
24151,0.855,0.0033697074960933123,
23848,0.8387,0.04584584579475263,
8971,0.8338,0.03510774732713274,
14400,0.8332,0.02740549355411459,
21508,0.8293,0.032868953451708476,
9402,0.825,0.0010481919095524904,
20374,0.8235,0.015031068068809978,
3589,0.8234,0.005258563552243761,
3537,0.8115,0.03887101374787468,
5156,0.8057,0.04100992498477276,
7026,0.7921,0.018277927745220888,
12433,0.7907,0.02007730659646646,
16895,0.7898,0.029858341039331236,
5453,0.7891,0.04281327993931784,
5548,0.7808,0.03746189040565354,
5976,0.7774,0.02417286903649943,
1469,0.7769,0.04811612950905349,
10641,0.7745,0.012951931880110533,
10447,0.7725,0.04829311742786458,
1915,0.7723,0.046152916472179985,
21579,0.7691,0.041381913162809654,
12015,0.7651,0.02209530367506036,
7288,0.7614,0.04858507963903105,
5921,0.7608,0.030739130861592565,
5101,0.7607,0.04802294586174014,
15719,0.7573,0.006531913971398252,
2612,0.7519,0.04643135496856484,
23301,0.7492,0.030503718919818797,
21273,0.7462,0.017016204049051915,
23659,0.7423,0.026193496703555034,
8734,0.7413,0.03003511819690342,
6150,0.7398,0.03312058249558343,
8877,0.7232,0.004829179001892657,
20227,0.7202,0.03476799413285317,
4624,0.7188,0.04408399411879134,
10048,0.713,0.03024943927486206,
21296,0.7121,0.031678445518627314,
9843,0.7092,0.04544669545226133,
2463,0.703,0.005562999206434351,
23304,0.7011,0.027415573219337977,
17884,0.6995,0.018963080214775725,
22204,0.6968,0.02147830352437772,
16356,0.6904,0.0006441612397039654,
6662,0.6872,0.044041262665974634,
12867,0.684,0.02788756501569035,
6645,0.6796,0.04221133208068126,
3884,0.6795,0.0436736181030236,
1146,0.6748,0.04186094818072596,
18637,0.67,0.020707482412113253,
15275,0.6609,0.04206699652596347,
20272,0.6488,0.026847212338907998,
19631,0.6479,0.027630045339471457,
16531,0.6473,0.019875271144497424,
480,0.6418,0.028669785417881816,
23031,0.6409,0.013360355862619492,
5513,0.6353,0.010025570129253149,
12167,0.6315,0.018384906719267114,
21331,0.6262,0.014640788304969244,
5305,0.6217,0.03762833696311821,
5960,0.6198,0.04758191385008048,
6297,0.6184,0.03918660359651532,
3212,0.6178,0.028330518118173754,
3160,0.6176,0.040469214853754924,
21752,0.6168,0.03756799596282948,
12555,0.6136,0.024621433769879374,
22561,0.6105,0.04998731474054857,
10651,0.6073,0.041774925546895186,
24442,0.6071,0.02303378566781524,
2440,0.6042,0.014015354207169673,
161,0.6034,0.013304269474649896,
18377,0.5982,0.04819940178408717,
20487,0.5962,0.00988218470595312,
19627,0.594,0.022827084262574317,
11555,0.5936,0.039442566600938325,
6446,0.587,0.037855317336944305,
14943,0.5867,0.043279475556883516,
2426,0.5831,0.023759319301689518,
21282,0.5805,0.008902650521441917,
17328,0.5796,0.024086235575626516,
13411,0.5773,0.04523454062259237,
18730,0.575,0.0494575101203216,
12163,0.5738,0.02212108853011432,
20963,0.5697,0.025056452451494994,
3955,0.569,0.019929674668433782,
12048,0.5665,0.023508400798320454,
4952,0.5635,0.028083605490585088,
9348,0.56,0.03396922088652932,
13804,0.5591,0.02304445930870789,
8403,0.5565,0.014164121184364638,
13227,0.5545,0.042223249393075486,
13612,0.5537,0.02201583586083673,
9930,0.552,0.02217081467493428,
7390,0.5489,0.022417984286632185,
8523,0.5481,0.041325596091284965,
16706,0.545,0.02794305658665021,
20107,0.5443,0.006037617611641861,
862,0.5378,0.01172083690247015,
3221,0.5375,0.031314443656209626,
23932,0.5368,0.023571879334708182,
15954,0.5357,0.02235179314473991,
23959,0.5338,0.010359475253456436,
837,0.5312,0.04474983690454336,
21978,0.5295,0.028209053748597984,
7342,0.5244,0.02847282652694884,
18945,0.5234,0.019031960492368365,
23260,0.517,0.01260108258765639,
7425,0.5164,0.02143940157708603,
6718,0.516,0.04140948213035647,
3886,0.5154,0.04279240096257203,
4917,0.5097,0.033970648293876034,
4527,0.5094,0.03495500404363213,
12799,0.503,0.046370511129189614,
17011,0.4993,0.04570933338882809,
13730,0.4975,0.029750005673545764,
8789,0.494,0.04489795366867201,
15273,0.4891,0.024657029794474348,
13586,0.4863,0.03684432154480166,
21422,0.4859,0.03600144104662028,
5550,0.483,0.030536849931935846,
13652,0.475,0.014063464130952424,
3565,0.4736,0.032367937914183534,
24309,0.4694,0.03202879397474831,
8368,0.467,0.020174570734018876,
8041,0.4645,0.030748304334416762,
14436,0.4627,0.01869985455686872,
14348,0.4615,0.03370399871913554,
12483,0.4578,0.021683283159785897,
23482,0.453,0.03280289364513238,
3687,0.4406,0.04445483637178711,
10953,0.4378,0.028869009638438047,
19379,0.436,0.04997795710751532,
16620,0.4331,0.04687280246721196,
20255,0.4316,0.03414496838047417,
20882,0.4284,0.03875971666595399,
22018,0.4281,0.031042377264959464,
10778,0.4241,0.03548940961615022,
13103,0.4083,0.03864084275708354,
23463,0.4076,0.04500768858290863,
14349,0.3631,0.04498487933121454,
